2018-04-22T19:23:45.7840896+01:00 BallTracking (0.1281841, 0.3077262) 
2018-04-22T19:23:45.7924096+01:00 BallTracking (0.1272221, 0.3071038) 
2018-04-22T19:23:45.8007424+01:00 BallTracking (0.1262601, 0.3064813) 
2018-04-22T19:23:45.8090880+01:00 BallTracking (0.1252981, 0.3058588) 
2018-04-22T19:23:45.8174208+01:00 BallTracking (0.1243361, 0.3052363) 
2018-04-22T19:23:45.8257408+01:00 BallTracking (0.1233741, 0.3046139) 
2018-04-22T19:23:45.8340864+01:00 BallTracking (0.1224121, 0.3039914) 
2018-04-22T19:23:45.8424448+01:00 BallTracking (0.1214501, 0.3033689) 
2018-04-22T19:23:45.8507520+01:00 BallTracking (0.1204881, 0.3027464) 
2018-04-22T19:23:45.8590848+01:00 BallTracking (0.1195261, 0.302124) 
2018-04-22T19:23:45.8675200+01:00 BallTracking (0.1185641, 0.3015015) 
2018-04-22T19:23:45.8757504+01:00 BallTracking (0.1176021, 0.300879) 
2018-04-22T19:23:45.8840832+01:00 BallTracking (0.1166401, 0.3002566) 
2018-04-22T19:23:45.8924160+01:00 BallTracking (0.115678, 0.2996341) 
2018-04-22T19:23:45.9007488+01:00 BallTracking (0.114716, 0.2990116) 
2018-04-22T19:23:45.9090944+01:00 BallTracking (0.113754, 0.2983891) 
2018-04-22T19:23:45.9174272+01:00 BallTracking (0.112792, 0.2977667) 
2018-04-22T19:23:45.9257600+01:00 BallTracking (0.11183, 0.2971442) 
2018-04-22T19:23:45.9340928+01:00 BallTracking (0.110868, 0.2965217) 
2018-04-22T19:23:45.9424256+01:00 BallTracking (0.109906, 0.2958992) 
2018-04-22T19:23:45.9507584+01:00 BallTracking (0.108944, 0.2952768) 
2018-04-22T19:23:45.9590912+01:00 BallTracking (0.107982, 0.2946543) 
2018-04-22T19:23:45.9674240+01:00 BallTracking (0.10702, 0.2940318) 
2018-04-22T19:23:45.9757568+01:00 BallTracking (0.106058, 0.2934093) 
2018-04-22T19:23:45.9840896+01:00 BallTracking (0.105096, 0.2927869) 
2018-04-22T19:23:45.9924352+01:00 BallTracking (0.104134, 0.2921644) 
2018-04-22T19:23:46.0007680+01:00 BallTracking (0.103172, 0.2915419) 
2018-04-22T19:23:46.0096256+01:00 BallTracking (0.10221, 0.2909195) 
2018-04-22T19:23:46.0178944+01:00 BallTracking (0.101248, 0.290297) 
2018-04-22T19:23:46.0262400+01:00 BallTracking (0.100286, 0.2896745) 
2018-04-22T19:23:46.0345472+01:00 BallTracking (0.099324, 0.289052) 
2018-04-22T19:23:46.0429056+01:00 BallTracking (0.09836199, 0.2884296) 
2018-04-22T19:23:46.0512384+01:00 BallTracking (0.09739999, 0.2878071) 
